正在提取 2026-04-01...
  找到 47 条消息
正在提取 2026-04-02...
  找到 96 条消息
正在提取 2026-04-03...
  找到 119 条消息
正在提取 2026-04-04...
  找到 131 条消息
正在提取 2026-04-05...
  找到 64 条消息
正在提取 2026-04-06...
  找到 106 条消息
正在提取 2026-04-07...
  找到 35 条消息
正在提取 2026-04-08...
  找到 49 条消息
正在提取 2026-04-09...
  找到 122 条消息
正在提取 2026-04-10...
  找到 122 条消息
正在提取 2026-04-11...
  找到 2 条消息
正在提取 2026-04-12...
  找到 10 条消息
正在提取 2026-04-13...
  找到 50 条消息
正在提取 2026-04-14...
  找到 26 条消息
正在提取 2026-04-15...
  找到 50 条消息
正在提取 2026-04-16...
  找到 26 条消息
正在提取 2026-04-17...
  找到 30 条消息
正在提取 2026-04-18...
正在提取 2026-04-19...
  找到 3 条消息
正在提取 2026-04-20...
  找到 36 条消息
正在提取 2026-04-21...
  找到 47 条消息
正在提取 2026-04-22...
  找到 66 条消息
正在提取 2026-04-23...
  找到 70 条消息
正在提取 2026-04-24...
  找到 33 条消息
正在提取 2026-04-25...
  找到 49 条消息
正在提取 2026-04-26...
  找到 23 条消息
正在提取 2026-04-27...
  找到 18 条消息

总共找到 1430 条消息

# 与 💞最爱嘟七 (wxid_s6n393ouvgx121) 的4月份聊天记录

时间范围: 2026-04-01 至 2026-04-27
[2026-04-01 18:12] 我: 那别走来走去了
[2026-04-01 19:04] 我: 几点
[2026-04-01 19:06] 我: 我要加班
[2026-04-01 19:06] 我: 我让唯物先回来
[2026-04-02 09:57] 我: haolei
[2026-04-02 09:57] 我: 你挂的那个号被我给取消了
[2026-04-02 09:57] 我: 那你去吗
[2026-04-02 09:57] 我: 昨天我看我明明取消了，但是又有一个预约
[2026-04-02 09:57] 我: 你听完我说完
[2026-04-02 09:58] 我: 我还纳闷我不是已经取消了吗
[2026-04-02 09:58] 我: 那要帮你挂回去吗
[2026-04-02 09:58] 我: 我以为是昨天的号
[2026-04-02 09:58] 我: 再挂一个吧
[2026-04-02 09:58] 我: 明天可以的
[2026-04-02 09:58] 我: 我昨天跟你说的时候你不说
[2026-04-02 10:00] 我: 我是洗澡的时候才想起来的
[2026-04-02 10:02] 我: 这是什么
[2026-04-02 10:02] 我: 四季青
[2026-04-02 10:03] 我: 现在还零售吗
[2026-04-02 10:03] 我: 春天到了
[2026-04-02 10:04] 我: 能穿漂亮衣服了
[2026-04-02 12:09] 我: 你的羽毛球搭子给你推荐的人民医院的那个医生是谁来着
[2026-04-02 12:10] 我: 我的搭档韧带受伤
[2026-04-02 12:20] 💞最爱嘟七: [链接] 资讯总结｜燃油附加费4月5日起涨5倍
  URL: https://search.weixin.qq.com/cgi-bin/newsearchweb/userclientjump?path=page%2Fsearch%2Fmobile_jump&query=%E8%B5%84%E8%AE%AF%E6%80%BB%E7%BB%93%EF%BD%9C%E7%87%83%E6%B2%B9%E9%99%84%E5%8A%A0%E8%B4%B94%E6%9C%885%E6%97%A5%E8%B5%B7%E6%B6%A85%E5%80%8D&scene=4812&extReqParams=%5B%7B%22key%22%3A%22parentSearchId%22%2C%22textValue%22%3A%22137%3A17920979975851225413%3A%3A%3A%257B%2522shareType%2522%253A%2522message%2522%257D%22%7D%2C%7B%22key%22%3A%22topQAShareKey%22%2C%22textValue%22%3A%225397447862523442931%22%7D%5D&thirdExtParam=%22%7B%5C%22shareFromChatbot%5C%22%3A1%2C%5C%22chatbotSecond%5C%22%3A1%2C%5C%22parentSearchID%5C%22%3A%5C%22137%3A17920979975851225413%3A%3A%3A%25257B%252522search_id%252522%25253A%25252210281481157544956443%252522%25252C%252522shareType%252522%25253A%252522message%252522%25257D%5C%22%2C%5C%22crossExtReqParams%5C%22%3A%5B%7B%5C%22key%5C%22%3A%5C%22topQAShareKey%5C%22%2C%5C%22textValue%5C%22%3A%5C%225397447862523442931%5C%22%7D%5D%2C%5C%22chatbotExtParams%5C%22%3A%7B%5C%22shareId%5C%22%3A%5C%22EKGyhPzu17PWugEYqIeu49Qz%5C%22%7D%7D%22&type=53&liteappJson=%7B%22query%22%3A%7B%22type%22%3A%22goToSearch%22%2C%22startWebSearchParams%22%3A%7B%22extParams%22%3A%22%7B%5C%22shareFromChatbot%5C%22%3A1%2C%5C%22chatbotSecond%5C%22%3A1%2C%5C%22parentSearchID%5C%22%3A%5C%22137%3A17920979975851225413%3A%3A%3A%25257B%252522search_id%252522%25253A%25252210281481157544956443%252522%25252C%252522shareType%252522%25253A%252522message%252522%25257D%5C%22%2C%5C%22crossExtReqParams%5C%22%3A%5B%7B%5C%22key%5C%22%3A%5C%22topQAShareKey%5C%22%2C%5C%22textValue%5C%22%3A%5C%225397447862523442931%5C%22%7D%5D%2C%5C%22chatbotExtParams%5C%22%3A%7B%5C%22shareId%5C%22%3A%5C%22EKGyhPzu17PWugEYqIeu49Qz%5C%22%7D%7D%22%2C%22customNavBarParams%22%3A%7B%22nativeConfig%22%3A%7B%22title%22%3A%22AI%E6%90%9C%E7%B4%A2%22%7D%2C%22hideSearchBar%22%3Atrue%7D%2C%22query%22%3A%22%E8%B5%84%E8%AE%AF%E6%80%BB%E7%BB%93%EF%BD%9C%E7%87%83%E6%B2%B9%E9%99%84%E5%8A%A0%E8%B4%B94%E6%9C%885%E6%97%A5%E8%B5%B7%E6%B6%A85%E5%80%8D%22%2C%22scene%22%3A4812%2C%22type%22%3A53%2C%22extReqParams%22%3A%5B%7B%22key%22%3A%22parentSearchId%22%2C%22textValue%22%3A%22137%3A17920979975851225413%3A%3A%3A%257B%2522shareType%2522%253A%2522message%2522%257D%22%7D%2C%7B%22key%22%3A%22topQAShareKey%22%2C%22textValue%22%3A%225397447862523442931%22%7D%5D%7D%2C%22versionCtrl%22%3A%7B%221%22%3A402667553%2C%222%22%3A671103032%2C%2237%22%3A4065593088%2C%2238%22%3A4066641664%2C%2243%22%3A4071884544%7D%7D%2C%22id%22%3A%22wxalite662c58496ffa1efd119b5eb4ea45a3ba%22%2C%22isTransparent%22%3A1%2C%22hideIcon%22%3A0%2C%22minVersion%22%3A%220.1.0%22%2C%22srcId%22%3A%22wxf6e012cbbca759dc%22%2C%22thumbUrl%22%3A%22https%3A%2F%2Fsearch.wxqcloud.qq.com%2Ft%2Ffed_upload%2F5e444d4588aaa32d6a993061ca21a764%2Fs1s_white_logo.png%22%2C%22path%22%3A%22pages%2Fauto-jumping%2Fauto-jumping%22%7D
[2026-04-02 13:11] 我: 省人的 陈聪宪
[2026-04-02 13:38] 我: 很神奇，我去的这个医生
[2026-04-02 13:38] 我: 我后背疼，他给我针灸我的肚子跟肚子下面
[2026-04-02 13:39] 我: 肌肉很酸爽
[2026-04-02 13:45] 我: ó
[2026-04-02 13:45] 我: 联动的？
[2026-04-02 13:45] 我: 对
[2026-04-02 13:45] 我: 后面拉伤，得放松前面的
[2026-04-02 13:46] 我: 胯这里的肌肉
[2026-04-02 15:21] 我: 这是昨天滴
[2026-04-02 15:21] 我: 补一下
[2026-04-02 15:22] 💞最爱嘟七: [链接] 那我也可以捏捏肚子
[2026-04-02 16:42] 我: 屁股好酸
[2026-04-02 17:25] 我: 好累
[2026-04-02 17:25] 我: 想下班
[2026-04-02 17:25] 我: 我们去逛超市吧
[2026-04-02 17:25] 我: 今天负荷过重了
[2026-04-02 17:25] 我: 我也是
[2026-04-02 17:25] 我: 但你是不是不能逛
[2026-04-02 17:31] 我: 浅浅走两步
[2026-04-02 17:40] 我: 我要写月报omg
[2026-04-02 17:48] 我: 啊哇哇哇哇
[2026-04-02 17:48] 我: 哇哇哇
[2026-04-02 17:54] 我: 那你几点逛街
[2026-04-02 18:00] 我: 太惨了
[2026-04-02 18:00] 我: 组长拉我去另一个会
[2026-04-02 18:00] 我: 有人管管我的生命体征吗
[2026-04-02 18:03] 我: 怎么了？
[2026-04-02 18:03] 我: 不舒服吗
[2026-04-02 18:12] 我: 感冒加重了
[2026-04-02 18:34] 灵溪隧道车神: [链接] 当前微信版本不支持展示该内容，请升级至最新版本。
  URL: http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=Cvvj5Ix3eewK0tHtibORqcsqchXNh0Gf3sJcaYqC2rQCzruAr6XYgf8nESpicm6WsTIria9XBiboaaTzo4d8twCcXAgvzScn7xnWv97QZMJPkKQokicRrzkDEvwrDtliaFMb1F&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a1b6
[2026-04-02 18:37] 我: 你是不开会了吗
[2026-04-02 18:37] 我: 你几点回
[2026-04-02 18:37] 我: 要去接你不
[2026-04-02 18:39] 我: 我自己打车吧
[2026-04-02 18:39] 我: 我写下月报
[2026-04-02 18:39] 我: 等你下班
[2026-04-02 18:42] 我: 你要去超市吗
[2026-04-02 18:50] 我: 怎么说
[2026-04-02 18:50] 我: 业务没回我
[2026-04-02 18:50] 我: 我想下班了
[2026-04-02 18:57] 我: 那怎么说
[2026-04-02 18:57] 我: 我在语音输出我的月报
[2026-04-02 18:58] 我: 你可以过来
[2026-04-02 18:58] 我: 去超市
[2026-04-02 18:58] 我: 我有电动车
[2026-04-02 18:58] 我: 然后回家
[2026-04-02 18:58] 我: 去河马
[2026-04-02 19:04] 我: 好 我大概七点半过来
[2026-04-02 19:14] 我: 行
[2026-04-02 19:14] 我: 我可以了
[2026-04-02 19:28] 我: 我已经再河马了
[2026-04-02 19:28] 我: 在餐桌这里
[2026-04-02 19:31] 我: 我现在打车
[2026-04-02 19:34] 我: 他是不是傻了
[2026-04-02 19:34] 我: 你慢慢来，我带着电脑在办公
[2026-04-02 19:35] 我: 完了，我还忘记喂猫了
[2026-04-02 19:43] 我: 你要吃饭吗
[2026-04-02 19:43] 我: 要的话我先给你点
[2026-04-02 19:43] 我: 要
[2026-04-02 19:43] 我: 有粥吗
[2026-04-02 19:43] 我: 没有
[2026-04-02 19:43] 我: 有软的汤面吗
[2026-04-02 19:43] 我: 水饺、馄饨
[2026-04-02 19:44] 我: 没有
[2026-04-02 19:44] 我: 混沌吧
[2026-04-02 19:44] 我: 小混沌
[2026-04-02 19:44] 我: 多久到
[2026-04-02 19:47] 我: 下雨了
[2026-04-02 19:47] 我: 快到了
[2026-04-02 19:47] 我: 在掉头了
[2026-04-02 19:47] 我: OK
[2026-04-02 19:47] 💞最爱嘟七: [链接] 小猫头转速如此之快
  URL: https://www.xiaohongshu.com/discovery/item/69c7714000000000230178bc?app_platform=ios&app_version=9.24&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBgyMMKUiTTnJZaRAjqR7a9YScGgfc4Pfpekb8unks3Jo=&author_share=1&xhsshare=WeixinSession&shareRedId=N0dHOUg3ND5MPko6S0E1PEo4PU08SUtB&apptime=1775130448&share_id=f16515b3275840b68548a7af0f2a73d2
[2026-04-02 19:49] 我: 荠菜小混沌
[2026-04-02 19:50] 我: ok
[2026-04-02 19:50] 我: 马上到
[2026-04-03 07:49] 我: 1、又一次明知道要早起 又突然德州搞这么晚，原本想着明天下雨也有个人陪着去医院稍微开心点，最后又失言。
2、昨天号子没了之后我打了很多个院区电话问咋搞，最后即使挂不上也清楚规划好好几种计划了（过凌晨看能不能约/早到现场约/先把我的另一个科室的号取消了让你去约/直接用我的另一个号），那种我辛苦做好攻略但最后因为不想起床没人受理。
你可能觉得没多大的事 没人叫我要花这么多心思管这么多，给你造成压力balala。但我想你明白，你既享受平时做好攻略安排得明明白白的我，就很难避免这样会因为花心思的计划被打乱而难过的我
3、去一趟医院打车来回就打底五十块钱起步，很贵，我不舍得分两次，也不舍得你明知道牙有问题还拖一个月
4、我就是很讨厌下雨，下雨整个人就很忧郁，还要早起自己一个人去医院会加重我觉得很孤独的感受，还有今天还要面对公司的破事，你不陪我这件事简直很难不影响我的心情
[2026-04-03 08:59] 我: 我消化好了没事了，你也不用苦恼怎么回我
[2026-04-03 08:59] 💞最爱嘟七: [链接] export.mp4
[2026-04-03 09:02] 我: 不会还没起床吧
[2026-04-03 10:15] 我: 真的没起床吗
[2026-04-03 10:33] 我: 刚起
[2026-04-03 10:33] 我: 我都想要不要打手机电话了
[2026-04-03 10:35] 我: 手机放在客厅了
[2026-04-03 10:36] 我: 我猜到了
[2026-04-03 10:36] 我: 今早看床头只有我的手机
[2026-04-03 10:55] 我: 哇哦
[2026-04-03 10:55] 我: 这是哪个角落
[2026-04-03 11:01] 我: 斜路那
[2026-04-03 12:07] 我: 结论直接定版：

核心根源 = 鼻炎（鼻腔通气弱）+ 密闭多人空间二氧化碳偏高 + 神经敏感紧张
完全对上你所有症状：

1. 独处不闷→排除心脏/肺部重症；

2. 有鼻炎不打呼→鼻通气天生比别人差，人多闷环境你先缺氧；

3. 白天攒轻度缺氧+神经紧绷→晚上深睡眠崩盘→第二天巨累

帮你拆解整条生理链

1. 鼻炎打底
你鼻腔通气本身窄，日常靠勉强呼吸撑着；
到人多、空调房、不通风的地方：
空气浑浊+二氧化碳升高+粉尘异味刺激鼻黏膜→鼻子更堵→进气更少。
别人血氧不掉，你直接隐性轻度缺氧。

2. 神经叠加放大
多人环境潜意识紧绷→呼吸变浅、胸式呼吸、肩颈僵硬→进一步吸不上氧，胸闷气短加重。

3. 反噬睡眠&次日状态
白天身体长期处在「低氧+紧绷代偿」状态：
晚上躺下，交感神经松不下来、大脑没彻底回氧→深睡眠少、多梦易醒；
睡眠修复不足→第二天浑身乏、脑子沉、累到缓不过来。

立刻能执行的针对性方案（极简好坚持）

一、外出/多人空间：提前止损（最关键）

1. 进场前/刚觉得闷：偷偷用生理盐水洗鼻，通开鼻腔；

2. 全程刻意腹式深呼吸（吸4秒、呼6秒，用肚子发力，别耸肩）；

3. 别硬扛！每40分钟找借口出门透气2-3分钟，打断缺氧堆积；

4. 避开香水、浓烟、异味区，会直接刺激鼻黏膜堵死。

二、日常治鼻炎，从根提通气

1. 每天早晚生理盐水洗鼻，坚持稳黏膜；

2. 换季/闷环境鼻堵明显时，耳鼻喉科开温和通鼻喷剂（别长期用网红通鼻药）；
鼻腔通了，你在人多地方的耐受力直接翻倍。

三、睡前急救，切断白天缺氧残留

1. 卧室睡前开窗通风10分钟，保证夜间氧气充足；

2. 躺床练5分钟「长呼气」：慢慢把白天憋的废气排干净，帮神经放松；

3. 枕头稍垫高一点，减轻夜间鼻后滴漏、通气变顺，加深睡眠。

四、低成本自查（安心兜底）

买个几十块的指尖血氧仪：

• 正常静坐血氧≥95；

• 到人多闷场如果掉到93及以下，就是实打实鼻通气导致的缺氧，完全印证判断。

一句话收尾

你不是体虚、不是矫情、不是心脏问题，就是鼻炎拖低了通气上限，再被密闭多人环境放大，最后熬夜反噬睡眠。
先把鼻腔通气稳住+公共场所及时透气，一周就能明显感觉到：胸闷变少、睡觉踏实、第二天不累。

需要我给你一套「3分钟现场缓解胸闷+睡前5分钟助眠」的固定呼吸口令吗？直接照着做就行。
[2026-04-03 12:16] 我: 外出
[2026-04-03 12:18] 我: 洗鼻
[2026-04-03 12:20] 我: 今晚我过来跟你吃饭
[2026-04-03 12:20] 我: 一块下班
[2026-04-03 12:24] 我: 牙痛鼠了
[2026-04-03 12:24] 我: 这个都吃不了了
[2026-04-03 12:25] 我: 只能现在点外卖了
[2026-04-03 12:25] 我: 我今晚也只能吃粥这种
[2026-04-03 13:26] 我: 正常呼吸（膈式呼吸）              你的呼吸（反向/胸式）

   吸气：                                吸气：
  ┌─────────┐                          ┌─────────┐
  │         │    膈肌↓收缩下降           │  肩↑抬起 │
  │  🫁🫁   │ ←── 空气被"吸"入肺部      │  胸↑前推 │
  │         │    腹腔内容物被向下推       │  腹↓内收 │
  │  👐鼓起 │ ←── 肚子隆起              │         │
  └─────────┘                          └─────────┘

   呼气：                                呼气：
  ┌─────────┐                          ┌─────────┐
  │         │    膈肌↑松弛回升           │  肩↓回落 │
  │  🫁🫁   │ ←── 肺弹性回缩排气        │  胸↓回缩 │
  │         │    腹腔空间恢复             │  腹↓外凸 │
  │  👐回缩 │ ←── 肚子变平              │         │
  └─────────┘                          └─────────┘
[2026-04-03 13:51] 灵溪隧道车神: [链接] 把一天当作三天过的方法，亲测有用
  URL: https://mp.weixin.qq.com/s/brGBMqx46oJ4enJcoHx7tA
[2026-04-03 13:52] 我: 拉个💩
[2026-04-03 14:43] 我: 做个💩
[2026-04-03 14:43] 我: 你猜怎么着
[2026-04-03 14:43] 我: 接到一个茶酒星球的工作人员电话
[2026-04-03 14:43] 我: 说杭州的店两年合同到期了
[2026-04-03 14:44] 我: （我很久之前填过加盟意向
[2026-04-03 14:44] 我: 邀请你去？
[2026-04-03 14:44] 我: 说要大力发展华东市场
[2026-04-03 14:45] 我: 说储备了十几家店
[2026-04-03 14:45] 我: 但过完这个冬天 我对华东市场比较悲观
[2026-04-03 14:46] 我: 其实没啥意向了
[2026-04-03 14:46] 我: 但还是允许她加我微信
[2026-04-03 14:47] 我: 他连莫吉托都不给你了
[2026-04-03 14:47] 灵溪隧道车神: [链接] 为啥
[2026-04-03 14:48] 我: 因为很冷
[2026-04-03 14:48] 我: 我好久没喝冷饮了
[2026-04-03 14:48] 💞最爱嘟七: [链接] 就是
[2026-04-03 14:48] 我: 我当时就是为了喝那一口莫吉托
[2026-04-03 14:48] 我: 才开的这家店
[2026-04-03 14:48] 我: 才翻到他们的官网
[2026-04-03 14:49] 我: 回家给你复刻一下
[2026-04-03 15:29] 我: 用小龙虾给我自动签到
[2026-04-03 15:35] 我: yabi是什么
[2026-04-03 15:58] 我: 一个下载电子书的网站
[2026-04-03 16:33] 我: 今晚吃提吉
[2026-04-03 16:33] 我: 有没有人反对、
[2026-04-03 16:40] 我: 没有
[2026-04-03 17:14] 我: 几点？
[2026-04-03 17:14] 我: 可能六点出头
[2026-04-03 18:03] 我: 提醒我拿鸭翅
[2026-04-03 18:12] 我: 鸭翅
[2026-04-03 18:18] 灵溪隧道车神: [链接] 黔香味·贵州菜
  URL: https://m.dianping.com/shopinfo/H2dxPsEp6qsXDH59?msource=Appshare2021&utm_source=shop_share&shoptype=10&shopcategoryid=105&cityid=3&isoversea=0&shareid=J3V7tCkfgK_1775211506
[2026-04-03 18:18] 我: 你说的是这个？
[2026-04-03 18:23] 我: 但你能吃吗
[2026-04-03 18:41] 💞最爱嘟七: [链接] 山夏间·酸汤牛肉火锅(杭州首店)
  URL: https://m.dianping.com/shopinfo/k1F4ihBZSaZ5J3Qh?msource=Appshare2021&utm_source=shop_share&shoptype=10&shopcategoryid=110&cityid=3&isoversea=0&shareid=ySHzo7UbNT_1775212908
[2026-04-03 18:41] 我: 这个
[2026-04-03 18:41] 我: 我今晚吃不了
[2026-04-03 18:42] 我: 我能下班了
[2026-04-03 18:42] 我: 去哪碰面
[2026-04-03 18:51] 我: 只有这家做外送
[2026-04-03 18:51] 我: 52min
[2026-04-03 18:51] 我: 现在点吧
[2026-04-03 18:51] 💞最爱嘟七: [链接] 我最近很喜欢美团外卖的「潮中人潮州菜（湖墅南路店）」，分享给你看看,点击链接可以进入店铺查看详情
  URL: http://i.waimai.meituan.com/external/poi/wpWgQ1JsjJVVWKsNIEtyBQI?utm_source=5913&amp;wmi_from=cpoiinfo&amp;user_id=604548531&utm_term=AiphoneBgroupC12.54.401DweixinEmsiG00000000000009183BFD5A88340F4A3AD90C390811163A17319281897102058420260403185153367&utm_source=appshare&utm_medium=iOSweb&utm_fromapp=wx&utm_sharesource=msi&lch=appshare_6e0f2a9d2184ceecA1
[2026-04-03 18:52] 我: 你看看吃什么
[2026-04-03 18:52] 我: 我来下单
[2026-04-03 18:52] 我: 我点了
[2026-04-03 18:52] 我: 点了啥
[2026-04-03 18:52] 我: 看错店下单了
[2026-04-03 18:52] 我: 粥
[2026-04-03 18:52] 我: 潮中人吗
[2026-04-03 18:52] 我: 还是啥
[2026-04-03 18:52] 我: 不是
[2026-04-03 18:52] 我: 退了吧
[2026-04-03 18:52] 我: 那你点了什么
[2026-04-03 18:52] 我: 美式
[2026-04-03 18:53] 我: 没事
[2026-04-03 18:53] 我: 就这样吧
[2026-04-03 18:53] 我: 已经退了
[2026-04-03 18:54] 我: 那你看吃什么
[2026-04-03 18:54] 我: 一个2人份的虾粥或者干贝粥？
[2026-04-03 18:55] 我: 你搜一下
[2026-04-03 18:55] 我: 蝴蝶里
[2026-04-03 18:56] 我: 我只能喝粥
[2026-04-03 18:56] 我: 汤饭可能不行
[2026-04-03 18:56] 我: 分开点也可以
[2026-04-03 18:56] 我: 我点
[2026-04-03 18:58] 💞最爱嘟七: [链接] 🔥567福利社🧧最高得19元外卖券！
  URL: https://mp.weixin.qq.com/mp/waerrpage?appid=wx0b42a347aafbe0d0&type=upgrade&upgradetype=3#wechat_redirect
[2026-04-03 18:58] 💞最爱嘟七: [链接] 🧧100元红包券已到账！
  URL: https://mp.weixin.qq.com/mp/waerrpage?appid=wx0b42a347aafbe0d0&type=upgrade&upgradetype=3#wechat_redirect
[2026-04-03 18:58] 我: 领
[2026-04-03 18:59] 我: 能省不少
[2026-04-03 19:00] 我: 完全达不到车
[2026-04-03 19:00] 我: 要饿死了
[2026-04-03 19:00] 我: 你想快
[2026-04-03 19:00] 我: 还是好吃
[2026-04-03 19:00] 我: 好吃
[2026-04-03 19:00] 我: 粥
[2026-04-03 19:02] 我: 猪杂粥还是虾
[2026-04-03 19:03] 我: xia
[2026-04-03 19:04] 我: 那就是潮中人
[2026-04-03 19:04] 我: 我太惨了
[2026-04-03 19:04] 我: 我吃一个青团都费劲
[2026-04-03 19:04] 我: ？
[2026-04-03 19:04] 我: 你买另一家呀
[2026-04-03 19:05] 我: 诶
[2026-04-03 19:05] 我: 怎么要这么贵
[2026-04-03 19:05] 我: 不是4元吗
[2026-04-03 19:05] 我: 我下单了
[2026-04-03 19:07] 我: 要不我自己来
[2026-04-03 19:08] 我: 我看错了 他默认公司地址
[2026-04-03 19:09] 我: 我要多加十块钱了
[2026-04-03 19:13] 我: 加了钱几分钟就打到了
[2026-04-03 19:13] 我: 哼
[2026-04-03 19:20] 我: 去喂了个猫然后司机取消了
[2026-04-03 19:29] 💞最爱嘟七: [链接] 李飞这一段太典了！到底谁能忍住不笑啊
  URL: https://www.xiaohongshu.com/discovery/item/69c61d43000000002200c455?app_platform=ios&app_version=9.24&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBrUxsiuUjzrYaf_u4MbzL5uVdu5lr2baHn3QmrKiDxwY=&author_share=1&xhsshare=WeixinSession&shareRedId=N0dHOUg3ND5MPko6S0E1PEo4PU08SUtB&apptime=1775215767&share_id=730b3c2b67a14e3a91a83470d175f925
[2026-04-03 19:35] 我: 没人理我
[2026-04-04 07:59] 我: 找资源的链接发我一下
[2026-04-04 08:00] 我: 你可以登我夸克网盘的号
[2026-04-04 08:00] 我: 问我要验证码
[2026-04-04 08:00] 我: 刚过了一趟车
[2026-04-04 08:03] 我: 小佩，喂食器我给他们开了
[2026-04-04 08:09] 💞最爱嘟七: [链接] 当前微信版本不支持展示该内容，请升级至最新版本。
  URL: http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=Cvvj5Ix3eez3Y79SxtvVL0L7CkPM6dFibusn4vVFEyiaoXylF2PaXcAaS9LwFIiaswlSyvibVbMHYCbQPUDUrfiaBiciaqTEtTaYjFXCllnicRM9mlbRGs7O6o7qmG2ARZcQxCBvVmvQib5wCCS1bN3pyuPooXA&hy=SZ&idx=1&m=b6a4d23dffaa9e99349824d20ad2c090&uzid=7a260
[2026-04-04 08:12] 我: berberber
[2026-04-04 08:20] 💞最爱嘟七: [链接] 两人公司靠 AI 日赚 2000 万，你的工作可能是个 Bug
